,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,78.0,NZ,1568082183,64,-46.19,168.86,50,11.99
1,san cristobal,90.0,HN,1568082183,93,14.68,-86.92,67.91,6.4
2,mariakani,56.0,KE,1568082183,84,-3.87,39.47,69.53,7.47
3,talnakh,40.0,RU,1568082183,93,69.49,88.39,35.6,8.95
4,guangyuan,99.0,CN,1568082183,85,32.43,105.86,73.99,3.04
5,georgetown,20.0,GY,1568081972,83,6.8,-58.16,82.4,9.17
6,saskylakh,0.0,RU,1568082184,53,71.97,114.09,38.93,10.11
7,cidreira,100.0,BR,1568082184,66,-30.17,-50.22,72.77,11.99
8,kodiak,1.0,US,1568082184,69,39.95,-94.76,81,8.05
9,bulaevo,100.0,KZ,1568082184,89,54.91,70.44,50.27,9.6
10,kavieng,75.0,PG,1568082184,77,-2.57,150.8,82.13,14.12
11,mount isa,100.0,AU,1568082184,15,-20.73,139.49,73.4,13.87
12,cayenne,0.0,GF,1568082184,100,4.94,-52.33,73.4,4.61
13,nouadhibou,35.0,MR,1568082185,78,20.93,-17.03,78.8,16.11
14,manzanillo,26.0,MX,1568082185,70,19.05,-104.32,83.93,5.26
15,aguimes,20.0,ES,1568082185,78,27.91,-15.45,73.99,20.8
16,ribeira grande,0.0,PT,1568082185,69,38.52,-28.7,68.81,1.61
17,bonavista,16.0,CA,1568082185,82,48.65,-53.11,46,5.01
18,barcelos,84.0,BR,1568082185,82,-0.97,-62.93,76.73,2.98
19,iguape,21.0,BR,1568082186,74,-24.7,-47.56,70.97,2.33
20,cape town,0.0,ZA,1568082021,93,-33.93,18.42,60.01,4.7
21,chuy,3.0,UY,1568082186,87,-33.69,-53.46,54.23,12.41
22,albany,40.0,US,1568081973,82,42.65,-73.75,62.6,3.36
23,sakaiminato,75.0,JP,1568082186,74,35.55,133.23,87.8,6.93
24,khatanga,100.0,RU,1568082186,83,71.98,102.47,36.41,12.21
25,provideniya,90.0,RU,1568082186,81,64.42,-173.23,51.8,6.71
26,hoyerswerda,0.0,DE,1568082187,93,51.43,14.25,54,8.05
27,thetford mines,3.0,CA,1568082187,91,46.09,-71.3,57,0.94
29,kapaa,40.0,US,1568082187,62,22.08,-159.32,91.4,16.11
30,luderitz,0.0,NA,1568082187,45,-26.65,15.16,64.4,4.7
31,tuktoyaktuk,20.0,CA,1568082187,59,69.44,-133.03,60.8,8.05
32,opuwo,0.0,NA,1568082188,20,-18.06,13.84,56.39,6.6
33,vardo,1.0,US,1568082188,88,39.62,-77.74,69.01,2.04
34,iqaluit,75.0,CA,1568082188,80,63.75,-68.52,39.2,10.29
35,punta arenas,0.0,CL,1568082188,80,-53.16,-70.91,39.2,12.75
36,caravelas,100.0,BR,1568082188,83,-17.73,-39.27,70.25,5.82
37,kununurra,9.0,AU,1568082189,7,-15.77,128.74,80.6,19.46
38,qaanaaq,95.0,GL,1568082189,64,77.48,-69.36,26.87,5.82
39,sangueya,100.0,GN,1568082189,94,10.7,-14.37,75.29,5.48
40,bilibino,99.0,RU,1568082189,65,68.06,166.44,47.39,8.16
42,coquimbo,0.0,CL,1568082189,76,-29.95,-71.34,51.8,3.36
43,ushuaia,0.0,AR,1568082189,60,-54.81,-68.31,39.2,6.93
44,san antonio,0.0,CL,1568082137,76,-33.58,-71.61,51.8,3.36
45,atuona,33.0,PF,1568082190,78,-9.8,-139.03,80.33,21
46,hermanus,74.0,ZA,1568082190,93,-34.42,19.24,57.99,7.65
47,beloha,50.0,MG,1568082190,73,-25.17,45.06,66.83,10.16
49,butaritari,100.0,KI,1568082190,73,3.07,172.79,83.21,10.83
50,qidong,0.0,CN,1568082191,63,31.81,121.66,104,5.61
51,nioro,100.0,GM,1568082191,89,13.79,-15.05,75.65,9.1
52,le port,100.0,FR,1568082191,70,42.87,1.37,57,3
54,leon,1.0,US,1568082191,88,40.74,-93.75,78.8,4.7
55,beaverlodge,90.0,CA,1568082192,93,55.21,-119.43,50,12.75
56,kalmunai,61.0,LK,1568082192,52,7.42,81.82,88.79,2.98
58,tambongon,75.0,PH,1568082192,70,7.26,125.66,89.01,4.7
59,saint-pierre,0.0,FR,1568082192,81,48.95,4.24,50,5.82
60,billings,75.0,US,1568082193,42,45.79,-108.5,66.2,5.26
61,santa rosa,100.0,AR,1568082193,77,-36.62,-64.29,48.11,3.89
62,ilulissat,0.0,GL,1568082193,59,69.22,-51.1,32,8.05
64,zorritos,75.0,PE,1568082193,33,-3.68,-80.68,89.6,2.24
65,kaitangata,80.0,NZ,1568082193,45,-46.28,169.85,53.01,5.01
66,saint andrews,0.0,NZ,1568082194,49,-44.53,171.19,54,4
67,jamestown,0.0,AU,1568082194,40,-33.21,138.6,62.15,6.98
68,east london,0.0,ZA,1568082194,42,-33.02,27.91,63.05,0.6
69,bluff,0.0,AU,1568082194,17,-23.58,149.07,72.23,14.29
70,rikitea,86.0,PF,1568082195,72,-23.12,-134.97,69.71,13.13
71,mar del plata,0.0,AR,1568081978,77,-46.43,-67.52,37.13,13.89
72,butembo,77.0,CD,1568082195,97,0.12,29.29,58.91,2.28
73,basoko,85.0,CD,1568082195,99,1.23,23.61,67.01,0.69
74,busselton,0.0,AU,1568082195,56,-33.64,115.35,71.01,4.09
75,mezhdurechensk,63.0,RU,1568082195,84,53.69,88.07,52.97,3.47
76,hobart,75.0,AU,1568082196,47,-42.88,147.33,62.01,17.22
77,yulara,0.0,AU,1568082196,19,-25.24,130.99,69.8,13.87
78,porto novo,0.0,BR,1568082196,68,-23.68,-45.44,68,1.12
79,luang prabang,75.0,LA,1568082196,94,19.89,102.14,78.8,2.24
80,guaimaca,75.0,HN,1568082196,68,14.53,-86.82,71.6,6.4
81,bradford,2.0,GB,1568082181,93,53.79,-1.75,54,5.82
82,chokurdakh,100.0,RU,1568082197,69,70.62,147.9,44.33,15.03
83,alihe,100.0,CN,1568082197,48,50.57,123.73,54.77,6.91
84,ust-ilimsk,73.0,RU,1568082197,52,57.96,102.73,58.91,6.58
85,geraldton,90.0,CA,1568082197,76,49.72,-86.95,51.8,5.82
86,north bend,40.0,US,1568082197,88,43.41,-124.22,64.4,9.17
88,cherskiy,100.0,RU,1568082197,78,68.75,161.3,47.03,6.31
89,upernavik,0.0,GL,1568082198,54,72.79,-56.15,34.61,6.24
90,khash,0.0,IR,1568082198,11,28.22,61.21,74.75,2.26
91,castro,0.0,CL,1568082198,81,-42.48,-73.76,42.8,8.05
92,erenhot,0.0,CN,1568082198,38,43.65,111.97,69.17,9.8
93,santa barbara,1.0,US,1568081913,82,34.42,-119.7,71.6,7.4
94,sitrah,0.0,BH,1568082198,62,26.15,50.62,89.6,16.11
95,portland,1.0,US,1568082170,100,43.66,-70.25,57.2,1.52
96,airai,5.0,TL,1568082199,32,-8.93,125.41,87.17,2.66
97,pisco,3.0,PE,1568082199,77,-13.71,-76.2,62.6,11.41
98,puerto ayora,5.0,EC,1568082199,87,-0.74,-90.35,66.99,3
99,victoria,75.0,BN,1568082199,88,5.28,115.24,86,1.12
100,faanui,43.0,PF,1568082199,82,-16.48,-151.75,78.17,13.85
101,hithadhoo,26.0,MV,1568082200,71,-0.6,73.08,83.57,7.27
102,tasiilaq,100.0,GL,1568082200,79,65.61,-37.64,39.2,20.8
103,panguna,100.0,PG,1568082200,86,-6.32,155.48,77.99,19.62
104,kruisfontein,0.0,ZA,1568082200,94,-34,24.73,54.05,2.04
105,mahebourg,20.0,MU,1568082200,68,-20.41,57.7,68,8.05
106,ponta do sol,43.0,BR,1568082200,46,-20.63,-46,69.35,6.04
107,okhotsk,0.0,RU,1568082201,37,59.36,143.24,61.97,13.04
109,nikolskoye,40.0,RU,1568082201,100,59.7,30.79,55.4,6.71
110,vestmannaeyjar,100.0,IS,1568082201,79,63.44,-20.27,49.01,17
111,sao joao da barra,67.0,BR,1568082201,92,-21.64,-41.05,65.93,0.72
112,barrow,100.0,AR,1568082201,71,-38.31,-60.23,44.69,6.22
114,liku,7.0,ID,1568082202,58,-0.73,119.89,81.05,6.85
116,xuanhua,100.0,CN,1568082202,96,40.61,115.04,58.19,5.23
117,vagur,36.0,FO,1568082202,82,61.47,-6.81,49.91,11.52
118,henties bay,0.0,NA,1568082202,95,-22.12,14.28,55,4
119,ingham,13.0,AU,1568082203,17,-18.65,146.16,80.51,4.18
120,dalvik,100.0,SE,1568082203,100,57.79,14.13,59,3.36
121,saint george,20.0,GR,1568082203,77,39.45,22.34,64.4,4.7
122,new norfolk,75.0,AU,1568082203,47,-42.78,147.06,62.01,17.22
124,saint-philippe,1.0,CA,1568082203,76,45.36,-73.48,55.4,2.24
125,poronaysk,33.0,RU,1568082203,68,49.22,143.1,62.69,13.29
126,concarneau,20.0,FR,1568082204,93,47.88,-3.92,57.2,11.41
127,belaya gora,100.0,RU,1568082204,80,68.54,146.19,43.61,14.27
128,port elizabeth,1.0,US,1568082204,88,39.31,-74.98,72,3.4
129,diamantino,9.0,BR,1568082204,26,-14.4,-56.44,77.45,6.13
131,luganville,75.0,VU,1568082204,78,-15.51,167.18,78.8,6.93
132,vanimo,96.0,PG,1568082204,83,-2.67,141.3,80.15,7.58
133,bani,36.0,YE,1568082205,88,16.02,42.93,85.55,10.09
134,alofi,75.0,NU,1568082205,74,-19.06,-169.92,78.8,6.93
135,bethel,75.0,US,1568082205,81,60.79,-161.76,57.2,12.75
136,hilo,75.0,US,1568082205,65,19.71,-155.08,82.4,8.05
137,avarua,100.0,CK,1568082205,69,-21.21,-159.78,77,12.75
138,santa fe,93.0,AR,1568082205,89,-31.62,-60.7,57.99,1.99
139,bambous virieux,20.0,MU,1568082206,68,-20.34,57.76,68,8.05
140,hamilton,20.0,CA,1568082206,87,43.26,-79.87,61,4.7
141,dirba,96.0,NG,1568082206,96,10.1,13.23,66.29,0.78
142,grindavik,75.0,IS,1568082206,100,63.84,-22.43,48.2,5.82
143,zhigansk,0.0,RU,1568082207,53,66.77,123.37,47.21,9.15
144,jining,41.0,CN,1568082207,54,35.41,116.58,85.19,5.97
145,cabedelo,20.0,BR,1568082207,94,-6.97,-34.84,71.6,2.24
146,salinopolis,71.0,BR,1568082207,79,-0.61,-47.36,81.41,18.86
147,aykhal,90.0,RU,1568082207,87,65.95,111.51,44.6,2.24
148,leningradskiy,25.0,RU,1568082207,73,69.38,178.42,46.67,15.28
149,arraial do cabo,0.0,BR,1568082208,88,-22.97,-42.02,69.8,20.8
150,yellowknife,5.0,CA,1568082208,87,62.45,-114.38,50,6.93
151,kochi,90.0,IN,1568082208,94,9.96,76.25,77,4.7
152,agen,100.0,FR,1568082208,100,44.2,0.62,57,4.7
153,souillac,31.0,FR,1568082208,93,45.6,-0.6,54,3.36
154,caceres,14.0,CO,1568082208,95,5.53,-74.53,64.85,5.14
155,shelburne,1.0,CA,1568082209,87,44.08,-80.2,59,2.24
156,sun city west,1.0,US,1568082209,28,33.66,-112.34,96.8,4.7
157,brus laguna,51.0,HN,1568082209,74,15.75,-84.48,84.83,17.63
158,neiafu,40.0,TO,1568082209,69,-18.65,-173.98,80.6,5.82
159,berlevag,94.0,NO,1568082209,66,70.86,29.09,50.81,13.27
160,severo-kurilsk,39.0,RU,1568082209,87,50.68,156.12,50.63,20.27
161,ahipara,41.0,NZ,1568082210,100,-35.17,173.16,62.01,7.47
162,esperance,0.0,AU,1568082210,33,-33.86,121.89,71.6,13.87
163,piacabucu,91.0,BR,1568082210,89,-10.41,-36.43,73.67,8.66
164,khuzhir,45.0,RU,1568082210,54,53.19,107.35,54.41,6.87
165,beihai,0.0,CN,1568082210,50,38.95,121.19,80.01,8.95
166,mackay,90.0,CA,1568082210,100,53.65,-115.58,48.2,6.93
167,lebu,75.0,ET,1568082211,93,8.96,38.73,55.4,6.93
168,praia da vitoria,75.0,PT,1568082211,83,38.73,-27.07,69.8,3.11
169,bredasdorp,99.0,ZA,1568082211,93,-34.53,20.04,59,2.51
170,vaini,40.0,IN,1568082211,94,15.34,74.49,69.8,3.36
171,dikson,100.0,RU,1568082211,90,73.51,80.55,34.79,29.3
172,sompeta,100.0,IN,1568082045,68,18.93,84.6,85.55,2.42
174,nanakuli,20.0,US,1568082212,46,21.39,-158.15,91.4,20.8
176,veraval,0.0,FR,1568082212,87,49.65,0.71,51.8,4.7
177,salalah,90.0,OM,1568082212,88,17.01,54.1,80.6,2.24
178,ostrovnoy,3.0,RU,1568082212,84,68.05,39.51,46.49,9.62
